"ID","Timestamp","Identifier","Avg_rating","Total_answers","Total_ratings","Answer","Num_options","Question","OptionA","OptionB","OptionC","OptionD","OptionE","Explanation","Tags"
"4047342","2019-10-01 03:26:30","1904253","2.8200","71","57","C","4","<p>What is the first stage of the wound healing process?</p>","<p>Proliferation&nbsp;</p>","<p>Inflammation</p>","<p>Haemostasis</p>","<p>Maturation</p>","","<p>Ans - c - haemostasis - Platelet cells are involved in clot formation and this stage happens quite rapidly post injury.</p>","-"
"4047356","2019-10-01 03:32:39","1904238","2.5900","115","95","D","5","<p>Which chromosome is particularly most likely to be associated with translocation?&nbsp;</p>","<p>13</p>","<p>14</p>","<p>15</p>","<p>21</p>","<p>22</p>","<p>Translocation is common in all 5, particularly in 21 because they cluster during meiosis&nbsp;</p>","Case 7"
"4047373","2019-10-01 03:28:24","1806029","2.5700","93","74","E","5","<p>Whilst on GP placement a female comes in who has recently found out she is pregnant, having missed her last 3 periods. She wants to discuss having an abortion.&nbsp;</p><p>&nbsp;</p><p>What sort of abortion would be the most suitable for her?</p>","<p>Vaccum suction</p>","<p>Abortion pill</p>","<p>Get on with it.&nbsp;</p>","<p>Potassium Chloride injection and then surgical removal</p>","<p>Dilation and Evacuation&nbsp;</p>","<p>The type of abortion depends on the gestation age, and if she has missed 3 periods then she is 16 weeks pregnant. Before 10 weeks the 2 abortion pills can be used for medical abortion. Between 10-15 weeks vacuum abortion can be used. 15-24 weeks the best abortion would be dilation and Evacuation and after 24 weeks they use the potassium chloride injection before the dilation and evacuation method.&nbsp;</p>","Reproduction, Embryology"
"4047615","2019-10-01 06:36:48","1904563","2.8700","117","90","D","5","<p>A patient requests extra ultrasound tests as she has previously had a miscarriage.</p><p>&nbsp;</p><p>The combined test discovered and increase in nuchal translucency and Beta-hCG levels are high.</p><p>&nbsp;</p><p>What is likely the cause?</p>","<p>Neural Tube Defect</p>","<p>Anencephaly</p>","<p>Omphalocele</p>","<p>Down's Syndrome</p>","<p>Gastroschisis&nbsp;</p>","<p>These are common signs of Down's syndrome</p>","Reproduction, Case 7, Pregnancy, Embryology"
"4047747","2019-10-01 08:29:54","1806029","2.9200","134","107","B","5","<p>A female patient in the surgery is considering having the combined test alongside the 12 week ultrasound. She is concerned about conditions they are testing for and whether her baby will be born with an chromosomal abnormality.</p><p>&nbsp;</p><p>What tests are being tested for in the combined test?</p>","<p>Down Syndrome and Turner Syndrome.</p>","<p>Down Syndrome, Edwards Syndrome and Patau Syndrome.&nbsp;</p>","<p>Edwards Syndrome and Patau Syndrome</p>","<p>Klinefelter Syndrome and Turners Syndrome</p>","<p>Down's Syndrome</p>","<p>The combined test combines nuchal translucency and maternal blood tests to check for Down's Sydrome, Patau Syndrome and Edwards Syndrome.&nbsp;</p>","Case 7, Pregnancy, Embryology"
"4047759","2019-10-01 08:39:40","1806029","2.7700","113","92","E","5","<p>During a dating ultrasound a female decides to have the combined test to test for chromosomal abnormalities. When measuring the nuchal translucency the ultrasonagrapher asks for a seond opinion as she is concerned the the nuchal translucency is too big.</p><p>&nbsp;</p><p>What should the nuchal translucency be smaller than?</p>","<p>0.2mm</p>","<p>4.5mm</p>","<p>11.2mm</p>","<p>7.9mm</p>","<p>3.5mm</p>","<p>When measuring the nuchal transluceny the measurement sould be less than 3.5mm, otherwise the patient needs to be referred on for further testing. The nuchal translucency test is part of the combined test for Down's Syndrome, Edwards Syndrome and Patau's Syndrome.&nbsp;</p>","Case 7, Pregnancy"
"4047809","2019-10-01 09:06:21","1904563","3.0000","140","113","E","5","<p>A pregnant patient attends her first routine ultrasound and explains that she had her last period around 7-8 weeks ago and was curious of a better estimate for her foetus' age during the examination. When estimating the age of the foetus, what are you most likely to look at?</p>","<p>Abdominal Circumference</p>","<p>Femur Length</p>","<p>Biparietal diameter</p>","<p>Skull Diameter</p>","<p>Crown-Rump Length</p>","<p>To estimate gestational age between 5th-10th week, you use the crown-rump length measurement. Then after that you use thebiparietal diameter which takes into account the skull, abdominal diameters and the femur length<img src=""../images/view.php?file=347222"" alt=""Crown Rump Length Measurement"" /></p>","Reproduction, Case 7, Pregnancy, Embryology"
"4047987","2019-10-01 11:40:32","1806029","2.7000","74","54","A","5","<p>A female patient wishes to discuss starting the contraceptive pill. You are aware that using this method of contraception increases her chance of developing a thrombus.</p><p>&nbsp;</p><p>Which clotting factors does taking the contraceptive pill interfere with??</p>","<p>Factors VII and X</p>","<p>Factor II, III and XI</p>","<p>None of them, it decreases the amount of antithrombin III&nbsp;</p>","<p>Factor XII</p>","<p>Factors I and II</p>","<p>The contraceptive pill increases the amountt of plasma fibrinogen and clotting factors VII and X. It also decreases the amount of antithrombin III in the blood, which inhibits clotting. These together increase the chance of a thrombus forming.&nbsp;</p>","Reproduction"
"4049129","2019-10-02 00:39:46","1904563","2.4700","125","95","A","5","<p>A patient has just finished her menstruation period, marking the beginning of the proliferation phase of the endometrium.&nbsp;</p><p>&nbsp;</p><p>Which of the following is true to begin this phase?</p>","<p>&nbsp;</p><p>Theca interna cells secrete androstenedione and testosterone</p>","<p>Theca Externa cells secrete testosterone and estrone</p>","<p>Theca Externa Cells secrete 17-beta-estradiol and androstenedione</p>","<p>Granular cells secrete estrone and androstenedione&nbsp;</p>","<p>Granular cells secrete 17-beta-estradiol and testosterone</p>","<p>The theca interna cells secrete androstenedione and testosterone which is then converted into 17-beta-estradiol and oestrone which allows the endometrium to enter the follicular phase.&nbsp;</p>","Reproduction, Case 7, Pregnancy"
"4049180","2019-10-02 01:19:06","1806029","2.9400","104","81","C","5","<p>When working in A and E a male rugby player comes in complaining of pain in his knee. On inspection you can see visable swelling and bruising, and on examination he has a positive anterior draw test.</p><p>&nbsp;</p><p>What ligament do you suspect he has damaged?</p>","<p>The posterior cruciate ligament</p>","<p>The medial collateral ligament</p>","<p>The anterior cruciate ligament</p>","<p>The lateral and medial collateral ligaments</p>","<p>The lateral collateral ligament</p>","<p>When testing the knee for ligament damage, thhee anterior draw (Lachmans) test is used to test the anterior cruciate ligament, and the posterior draw test for the posterior cruciate ligament. The medial and lateral collateral ligaments can be tested using the McMurrays test</p>","Case 1"
"4049272","2019-10-02 02:21:04","1904563","2.3600","135","102","A","5","<p>You are on placement and the doctor you are with explains that the pregnant patient you are about to see has a foetus which has caudal dysgenesis. The patient has maternal diabetes.</p><p>&nbsp;</p><p>What abnormalities is the foetus likely to have?</p>","<p>Sirenomelia</p>","<p>Sitis Inversus</p>","<p>Heterotaxy</p>","<p>Holoprosencephaly&nbsp;</p>","<p>Anencephaly</p>","<p>During gastrulation, the caudal aspect of the germinal disc is responsible for the lumboscral region, the lower limb and parts of the urogenital system. If this process is damaged there is caudal dysgenesis. A severe form of this is sirenomelia where the lower limbs form together and there is loss of the lumbosacral region.</p><p>Heterotaxy and sitis inversus are commonly found in issue with the lateral aspects of the germinal disc.&nbsp;</p><p>&nbsp;</p><p>Holoprosencephaly is caused by issues with the anterior aspect of the germinal disc.</p>","Reproduction, Case 7, Pregnancy, Embryology"
"4049293","2019-10-02 02:33:13","1904563","2.7800","119","98","D","5","<p>You are on placement and the doctor you are with explains that you are about to see a baby which has been born with issues that has been caused by disruption in their development of the endodermal layer.</p><p>What structures <em>or</em> cell populations are likely to be the most affected?</p>","<p>Skin, bones and connective tissue, muscles and cells that form the serous membranes of organs</p>","<p>Melanocytes and hair follicles</p>","<p>Sensory ganglia, sympathetic and enteric neurons, schwaan cells and cells of the adrenal medulla</p>","<p>Gut Wall</p>","<p>craniofacial skeleton,&nbsp;</p>","<p>The parietal mesoderm folds and forms the ventral body wall, isolating the endoderm in the embryo. This endoderm forms the wall of the gut.</p>","Reproduction, Case 7, Pregnancy, Embryology"
"4049335","2019-10-02 02:54:09","1540004","2.9700","105","79","E","5","<p>A 30-year old patient is admitted to A &amp; E with a deep laceration to the lateral region of their knee. Upon examination you realise that the patient has 'foot drop' as well as a lack of&nbsp;sensation on the lateral leg and dorsum of the foot</p><p>&nbsp;</p><p>What nerve is most likely to be damaged in this patient?</p>","<p>The Sciatic Nerve</p>","<p>The Tibial Nerve</p>","<p>The Sural Nerve</p>","<p>The Femoral Nerve</p>","<p>The Common Peroneal Nerve</p>","<p>Answer E - The common peroneal nerve begins at the popliteal fossa where the sciatic nerve bifurcates into the tibial and common peroneal nerves. The anatomical course of the common fibular nerve causes it to wrap round the neck of the fibular where it is very exposed and is prone to damage.</p><p>&nbsp;</p><p>The common fibular nerve is most commonly damaged by a fracture at the fibula neck but can also be damaged by trauma (e.g. deep lacerations) or tight casts.</p><p>&nbsp;</p><p>Patients with common fibular nerve damage lose the ability to dorsiflex the foot at the ankle joint, because motor innervation to the anterior compartment of the leg is lost. This is known as foot drop and may cause the patient to have a characteristic gait. They will also lose sensory innervation to the lateral leg and dorsum of the foot.</p>","Case 1"
"4049467","2019-10-02 04:43:38","1904563","2.9300","129","101","B","5","<p>You are on placement and the doctor you are with describes that the female patient you are about to see has an X-linked dominant inherited condition that is only found in Females, and not males usually.&nbsp;</p><p>&nbsp;</p><p>If this patient were to give birth to an offspring, what are the&nbsp;<em>likely</em> chances that the offspring will be affected?</p>","<p>1/2</p>","<p>1/3</p>","<p>1/4</p>","<p>2/3</p>","<p>100%</p>","<p>Conditions like these are X-linked dominant inheritance with male lethality and affected males are miscarried mostly so it would not likely be given birth to. Also, the male she would have had intercourse with would not be a carrier. The mother would have to be heteroyzgous dominant to survive also. So if you work it out; 1/3 will be affected females, 1/3 will be unaffected females and 1/3 will be unaffected males.</p><p>&nbsp;</p><p>&nbsp;</p>","Reproduction, Case 7, Pregnancy, Embryology"
"4049533","2019-10-02 05:57:16","1540004","2.9300","103","81","D","5","<p>A 17-year old footballer is admitted to A &amp; E after taking a blow to the knee, which has swollen and started to bruise.</p><p>&nbsp;</p><p>Several weeks later the patient returns to the hospital complaining of stiffness and instability in the same knee, so you decide to perform a routine knee examination. You apply varus force on the knee joint and discover that there is an abnormal range of movement. This does not happen when you test the other knee.</p><p>&nbsp;</p><p>What ligament is <em>most likely</em> to be damaged on the affected knee?</p>","<p>Anterior Cruciate Ligament</p>","<p>Posterior Cruciate Ligament</p>","<p>Medial Collateral Ligament</p>","<p>Lateral Collateral Ligament</p>","<p>Patellar Tendon</p>","<p>Answer D - During a knee examination you test the collateral ligaments by flexing the knee to 15 degrees and applying varus or vulgus force to the leg whilst keeping the thigh in place.</p><p>&nbsp;</p><p>Varus force moves the leg towards the midline and tests the lateral collateral ligament. Valgus force moves the leg away from the midline and tests the medial collateral ligament. It is important to look for symmetry between legs and patients will vary in flexibility.</p>","Case 1"
"4049580","2019-10-01 03:25:51","1540004","2.7700","132","104","C","5","<p>An 18-year old patient visits her local GP and thinks that she is pregnant. She tells the GP that she has used several urine pregnancy tests at home, which were all positive.</p><p>&nbsp;</p><p>What hormone does the urine pregnancy test detect an increase in to determine pregnancy?</p>","<p>Follicle-stimulating Hormone (FSH)</p>","<p>Luteinizing Hormone (LH)</p>","<p>Human Chorionic Gonadotropin (hCG)</p>","<p>Progesterone</p>","<p>Oestrogen</p>","<p>Answer C - Human chorionic gonadotropin (hCG) levels increase during the early stages of pregnancy. It is the hormone detected by both urine and blood tests to determine pregnancy.</p><p>&nbsp;</p><p>hCG is a placental hormone initially secreted by cells (syncitiotrophoblasts) surrounding the implanting embryo. Its function is to maintain the ovarian corpus luteum, which in turn supports the endometrial lining by continuing to produce progesterone. &nbsp;This maintains pregnancy until the foetus can produce its own hormones.</p>","Menstrual Cycle, Case 7, Pregnancy, Embryology"
"4051228","2019-10-03 02:34:05","1508384","2.9000","113","88","A","5","<p>A 5 year old child is brought to your paediatric clinic. You notice her left limbs are slightly longer than her right limbs, and she has low muscle tone and is very thin. Upon examination you see that she has slightly blue/grey sclera of her eyes, and suffers from clinodactyly. Her mother tells you that she often sweats at night, and is smaller and lighter than her younger brother, who is a year younger than her.</p><p>&nbsp;</p><p>What is the most likely cause of her symptoms?</p>","<p>Silver-Russell syndrome</p>","<p>Prader-Willi syndrome</p>","<p>Turner syndrome</p>","<p>Angelman syndrome</p>","<p>Beckwith&ndash;Wiedemann syndrome</p>","<p>Silver-Russell syndrome is a genetic disorder, with signs and symptoms including a low birthweight (&lt; 2.8kg) and small size for the gestational age. Children with this condition may be smaller than children younger than them. They often excessively sweat, which is a symptom of their hypoglycaemia, and they often have clinodactyly.</p><p>&nbsp;</p><p>Though patients with Turner syndrome also have poor growth, this often presents at puberty, as patients will not have a growth spurt. This child is 5 years old here, so Turner syndrome would most likely be asymptomatic at this age.</p>","Case 7, Genetics"
"4051482","2019-10-03 05:08:17","1806029","3.0700","130","101","A","5","<p>A female patient is 4 months pregnant, and has a family history of Down's Syndrome. She is concerned about the risk of her baby being born with Down's sydrome, so wishes to be screened for it.</p><p>&nbsp;</p><p>Which test would be most appropriate for her?</p>","<p>The quadruple test</p>","<p>The nuchal translucency scan</p>","<p>The combined test</p>","<p>The foetal abnormality scan</p>","<p>She needs to wait until the baby is born.&nbsp;</p>","<p>The nuchal translucency scan is part of the combined screen, and can be carried out between 11 an 14 weeks of pregnancy. As this patient is 4 months pregnant (16 weeks) she is therefore too far gone for this test. The foetal abnormality scan looks for 11 different foetal abnormalities over weeks 18 - 21.</p><p>&nbsp;</p><p>The quadruple test would be most appropriate as this can be done between weeks 15 and 20.&nbsp;</p>","Case 7, Pregnancy"
"4051568","2019-10-03 06:19:54","1508384","2.9000","131","105","C","5","<p>You speak to a woman whose last menstrual period started 5 weeks ago. She has recently taken a pregnancy test, which gave a positive result. She is overweight and has a poor diet, and is worried about the health of the baby.</p><p>&nbsp;</p><p>What is the most likely abnormality to occur at this stage?</p>","<p>Foetal alcohol spectrum disorder</p>","<p>Down syndrome</p>","<p>Neural tube defects</p>","<p>Cystic fibrosis</p>","<p>Intrauterine growth restriction</p>","<p>Neurulation occurs between weeks 4-6 of gestation. Neural tube defects are more likely in women who do not get enough folic acid in their diets, and are more common in women who are unaware they are pregnant.</p><p>&nbsp;</p><p>Neural tube defects can be detected by ultrasound in week 12.</p>","Case 7, Embryology, Pregnancy"
"4051778","2019-10-03 08:57:37","1802156","3.0400","129","107","A","5","<p>Jenny unfortunately had a miscarriage. Her doctor explained to her that this was due to a condition where the embryo was triploid. This had also resulted in a small fetus and a small placenta before the miscarriage.</p><p>&nbsp;</p><p>Which of the following was<strong> most likely</strong> the reason for the miscarriage?</p>","<p>One egg was fertilised by 1 sperm but the egg was diploid</p>","<p>One egg was fertilised by 1 sperm but the sperm was diploid</p>","<p>One egg was fertilised by 2 sperms</p>","<p>Two eggs were fertilised by 1 sperm but the sperm was diploid.</p>","<p>Two eggs were fertilised by two sperms.&nbsp;</p>","<p>This condition is digyny where a diploid egg is fertilised by 1 sperm. This leads to a small fetus and a small placenta. Normally, digyny ends up in miscarriages leaving 'diandry' to be more common.&nbsp;</p><p>Diandry is the triploidy condition where a diploid sperm fertilises an egg or two sperms fertilise 1 egg. this leads to a&nbsp;<strong>large&nbsp;</strong>placenta and a small fetus.&nbsp;</p>","Case 7, Embryology, Pregnancy, Chromosomal Abnormalities"
"4051814","2019-10-01 05:47:58","1904563","2.5900","115","88","B","5","<p>A patient at the GP claims she is pregnant and her last period was 10 weeks ago and she wants an abortion, however; she refuses to have a surgical procedure. After confirming the age of pregnancy...:</p><p>&nbsp;</p><p>What is the most likely course of action for this patient?</p>","<p>Explain to the patient that we do not normally carry out medical abortions after 9 weeks and that she should do the surgical procedure or she will have to have the baby</p>","<p>Give patient Mifepristone and more doses of Misoprostol</p>","<p>Suction Aspiration Procedure</p>","<p>Give Patient normal doses of Misoprostol and Mifepristone</p>","<p>Dilation and Evacuation procedure</p>","<p>At 10 weeks you can still do medical abortion, but they will have to have more doses of misoprostol and they are also more likely to have to stay in the hospital or clinic. This because Misoprostol is most effective up to 9 weeks at causing medical abortion, therefore the first dose may not be sufficient enough to cause it.</p><p>&nbsp;</p><p>You can't pick dilation and evacuation and suction aspiration as the patient has refused surgery and you cannot force the patient.</p>","Pregnancy, Case 7, Reproduction, case 2"
"4051846","2019-10-01 23:36:24","1904563","2.5100","112","91","C","5","<p>A patient has just given birth to a new baby girl.&nbsp;</p><p>&nbsp;</p><p>In which stage in the cell cycle are the new born's Oocytes likely to be in?</p>","<p>Oogonias</p>","<p>Just entering Meiosis I prophase&nbsp;</p>","<p>Diplotene stage</p>","<p>Finishing Meiosis I</p>","<p>Stuck in prophase in Meiosis II</p>","<p><strong>Oocytes are in the diplotene stage post birth</strong></p><p>&nbsp;</p><p>At the 4th Month they are oogonia, at 7th month of development the primary oocytes are primary oocytes in prophase, at birth the oocytes are in the diplotene stage.</p><p>It enters Meiosis 2 before ovulation</p>","Pregnancy, Case 7, Reproduction, Menstrual Cycle"
"4051872","2019-10-03 10:05:20","1904563","2.9200","143","116","E","5","<p>You are on placement in the antenatal clinic and the patient is a 39-year-old who is 11 weeks pregnant and she has come for a combined test. The ultrasound shows an increase in nuchal translucency and when you later get the blood results back they show an increase in human chorionic gondaotropin. You believe this to be abnormal.&nbsp;</p><p>&nbsp;</p><p>What is likely the next step for this patient?</p><p>&nbsp;</p><p>&nbsp;</p>","<p>Amniocentesis</p>","<p>Triple Test</p>","<p>Quadruple Test</p>","<p>An Ultrasound at 14-22 weeks so you can later confirm this when structures have grown so you can see if there is an abnormality</p>","<p>Chorionic Villus Sampling</p>","<p><span style=""text-decoration: underline;""><strong>Chorionic Villus sampling can be done at 11 weeks gestation</strong></span></p><p>&nbsp;</p><p>As the combined test is simple a screening test, you would need something more definitive to find out the diagnosis.&nbsp;</p><p>&nbsp;</p><p><strong>A)</strong> Amniocentesis can only be done at 14 weeks without endangering the foetus so its too early for that.</p><p>&nbsp;</p><p><strong>B)</strong>&nbsp;The triple test is simply another screening process and would not add to the diagnosis</p><p>&nbsp;</p><p><strong>C)</strong> Same as B</p><p>&nbsp;</p><p><strong>D)</strong> You would likely like to diagnosis this condition early as possible, also another Ultrasound is just another screening process and doesn't offer a definitive diagnosis.</p><p>&nbsp;</p><p><strong>E) Chorionic Vills sampling is the appropriate option as it can be done at 11 weeks gestation and it offers a definitive diagnosis</strong></p>","Embryology, Pregnancy, Case 7, Genetics, Reproduction"
"4051917","2019-10-03 10:50:46","1508384","2.7600","117","95","C","5","<p>You receive a patient's genome sequencing results, and see that they are 47,XXY. What is the name of this condition?</p>","<p>Digyny fertilisation</p>","<p>Edwards syndrome</p>","<p>Klinefelter syndrome</p>","<p>Patau syndrome</p>","<p>Turner syndrome</p>","<p>Klinefelter syndrome occurs when a person has 3 sex chromosomes, and are therefore XXY. It often presents with infertility and small testicles, though symptoms are very mild.</p>","Case 7, Chromosomal Abnormalities"
"4053541","2019-10-03 09:45:22","1904563","2.5900","116","94","E","5","<p>You are on a placement and the doctor you were waiting for has arrived to meet you late and explains she was busy dealing with a new born who has exomphalos, macroglossia, overgrown limbs and nevus flammeus. The newborn's DNA has been sent off for further analysis as a congenital condition is suspected.</p><p>&nbsp;</p><p>Which genetic dysfunction/abnormality has likely caused this condition?</p>","<p>Paternal duplication</p>","<p>Paternal uniparental disomy 7</p>","<p>CDKN1C mutation&nbsp;</p>","<p>Paternal uniparental disomy 11</p>","<p>Imprinting Defect</p>","<p><strong>Beckwith-Wiedemann Syndrome is usually due to imprinting errors</strong></p><p>&nbsp;</p><p>The symptoms present such as exomphalos, Nevus flammeus, macroglossia and overgrown limbs indicates Beckwith-Wiedemann syndrome. The causation of Beckwith-Wiedemann Syndrome varies and the most frequent cause is genetic imprinting errors and it is commonly referred to as an imprinting disorder.&nbsp;</p><p>&nbsp;</p><p><strong>The frequencies of causes are as follows:</strong></p><ul><li>Paternal UPD 11 (20%)</li><li>Paternal duplication (1%)</li><li>Imprinting defect (50%)</li><li>Paternal UPD 7 (don't overgrow)</li><li>CDKN1C (chromosome 11p) mutation (10%)</li></ul>","Case 7, Genetics, Chromosomal Abnormalities"
"4053715","2019-10-04 04:52:40","1540004","2.8300","113","94","B","5","<p>A 37-year old patient is 15 weeks pregnant, she is offered antenatal screening tests because she is at a higher risk due to her age as well as a family history of a genetic condition. The patient agrees to have the Amniocentesis procedure done and you are about to explain the risks of the procedure to her...</p><p>&nbsp;</p><p>What is the risk of spontaneous miscarriage?</p>","<p>2%</p>","<p>1%</p>","<p>5%</p>","<p>0.5%</p>","<p>3%</p>","<p>Answer B - There is a 1% chance of spontaneous miscarriage in Amniocentesis.</p><p>&nbsp;</p><p>It is not fully understood why amniocentesis can lead to a miscarriage, but it may be caused by factors such as infection, bleeding or damage to the amniotic sac.</p><p>&nbsp;</p><p>This information is sourced from the antenatal screening lecture and the NHS website.</p>","Pregnancy, Case 7"
"4053813","2019-10-04 05:45:08","1803939","2.8300","113","93","D","5","<p>Mrs X has just recieved news that she is pregnant, and is wondering about the different embryological stages of pregnancy.&nbsp;</p><p>&nbsp;</p><p>One stage of embryology is gastrulation. What is the first sign of gastrulation?</p><p>&nbsp;</p><p>&nbsp;</p>","<p>closure of the neural tube</p>","<p>differentiation of the somites</p>","<p>formation of the neural crest cells</p>","<p>formation of the primitive streak</p>","<p>the conversion of the bilayered blastula into an embryo with 3 layers</p>","<p>The formation of the primitive streak is the first sign of gastrulation</p>","Embryology, Pregnancy, Case 7"
"4053978","2019-10-04 07:00:37","1904563","2.5600","113","94","B","5","<p>A patient has come to clinic following an amniocentesis procedure which was performed as he has had a previous miscarriage and is 40. Karyotyping of the amniocentesis cultures indicated the karyotype was: 46, XX/XY.&nbsp;</p><p>&nbsp;</p><p>What does this most likely indicate?</p>","<p>Foetal Hermaphroditism from mosaicism</p>","<p>Maternal cell contamination</p>","<p>Non-identical twins</p>","<p>Error when Karyotyping</p>","<p>Chimeric Disorder</p>","<p>The most likely cause of XX/XY karyotypes from amniocentesis is maternal cell contamination, although this can be reduced by using a stillete in the needle and if the first few drops of amniotic fluid withdrawn in the needle is discarded.</p>","Embryology, Pregnancy, Case 7, Genetics, Chromosomal Abnormalities"
"4054135","2019-10-04 05:39:14","1803939","2.9900","113","90","D","5","<p>Mrs X has a genetic councelling appointment after her genetic test. She is told that she is at risk of a disease that has the following characteristics:</p><p>&nbsp;</p><p>- seen in multiple generation</p><p>- variable expression</p><p>- incomplete penetrance</p><p>- 50% offspring risk</p><p>&nbsp;</p><p>What disease could she be at risk of?</p>","<p>Angelman Syndrome</p>","<p>Cystic fibrosis</p>","<p>Haemophilia</p>","<p>Huntington's</p>","<p>Sickle cell</p>","<p>The characteristics described all apply to an Autosomal Dominant disease --&gt; D is the only autosomal dominant disease listed</p><p>&nbsp;</p><p>A - this is not an inherited disease (deletion in maternal chromosome 15)</p><p>B -&nbsp;autosomal recessive disease</p><p>C - X-linked recessive disease</p><p>D - Correct - autosomal dominant disease</p><p>E - autosomal recessive disease</p>","Case 7, Genetics, Chromosomal Abnormalities"
