"ID","Timestamp","Identifier","Avg_rating","Total_answers","Total_ratings","Answer","Num_options","Question","OptionA","OptionB","OptionC","OptionD","OptionE","Explanation","Tags"
"2918865","2017-10-25 02:40:54","1606864","2.4900","95","71","D","5","<p>A patient comes in with a fracture around the surgical n&#128522;ck of the humerus&nbsp;</p><p>What is expected to happen ?</p>","<p>Wrist drop</p>","<p>Arm drop</p>","<p>Adduction failure&nbsp;</p>","<p>Abduction failure&nbsp;</p>","<p>Neither of those</p>","<p>Axillary nerve innervates the deltoid</p><p>Deltoid is a muscle apparently</p><p>Thus&nbsp;</p><p>One should not be able to abduct the arm</p><p>&#127894;</p>","PCS 1 anatomy of upper limb"
"2918867","2017-10-25 02:41:10","1701402","2.9100","97","68","C","5","<p>After a fall a patient comes into A&amp;E complaining of pain in their upper arm, a tingling sensation in their 4th and 5th digits and an inability to extend these fingers. You x-ray their arm, where is the most likely place that they have fractured it?&nbsp;</p>","<p>Surgical neck of humerus</p>","<p>Mid-shaft fracture of humerus&nbsp;</p>","<p>Distal humeral fracture&nbsp;</p>","<p>Monteggia&rsquo;s fracture of ulna&nbsp;</p>","<p>Galeazzi&rsquo;s fracture of ulna&nbsp;</p>","<p>A. Most likely causes damage to axillarg nerve causing paralysis to the deltoid and Teres minor muscles and a loss of sensation to the regimental badge region.&nbsp;</p><p>B. Most likely causes damage to the radial nerve causing wrist drop and sensory loss over the posterior surface of the thumb and first finger.&nbsp;</p><p>C. The medial epicondylitis fracture of the distal humerus can damage the ulnar nerve causing ulnar claw and loss of sensation in this area.&nbsp;</p><p>D. &nbsp;Fracture of proximal shaft of ulna, head of radius is dislocated.&nbsp;</p><p>E. Fracture to distal radius, ulna head dislocated at the distal radio-ulnar joint.&nbsp;</p>","PCS 1 anatomy of upper limb, Upper limb anatomy"
"2918868","2017-10-25 02:41:20","1706079","2.7200","100","72","C","5","<p>Jim, 65, is diagnosed with Multiple Sclerosis (MS), after experiencing vision problems, fatigue, muscle weakness and reduced coordination.&nbsp; His GP explains that this is due to reduced speed of transmission in some of his nerve cells.&nbsp;&nbsp;</p><p>What is causing the reduced speed on transmission?</p><p>&nbsp;</p>","<p>Some neurons are not able to propagate an action potential as the Na+ and K+ ion channels are damaged.</p>","<p>The myelin sheath surrounding axons&nbsp; in the motor neurons becomes depleted</p>","<p>The myelin sheath surrounding axons in the brain and spinal cord becomes depleted</p>","<p>The diameter of axons in the motor neurons increases</p>","<p>The diameter of axons in the brain and spinal cord decreases</p>","<p>A- Not linked to MS</p><p>B- MS affects the neurons in the brain and spinal cord</p><p>D + E: Not linked to MS&nbsp;</p>","Neurons"
"2918875","2017-10-25 02:42:52","1703707","2.8800","106","82","D","5","<p>The compression of which nerve causes carpel tunnel syndrome ? &#128027;</p>","<p>Axillary nerve</p>","<p>radial nerve</p>","<p>ulnar nerve</p>","<p>median nerve</p>","<p>musculocutaneous nerve</p>","<p>Carpal tunnel syndrome is the compression of the median nerve as it passes into the hand. The median nerve is located on the palm side of your hand (also called the carpal tunnel). The median nerve provides sensation (ability to feel) to your thumb, index finger, long finger, and part of the ring finger. It supplies the impulse to the muscle going to the thumb. Carpal tunnel syndrome can occur in one or both of your hands.</p>","Upper limb anatomy, anatomy"
"2918877","2017-10-25 02:43:25","1706636","2.5700","104","74","C","5","<p>After a long day doing push-ups at the gym, 21 year old Jim presents with winging of the scapula, caused by damage to the nerve which supplies Serratus Anterior. Which nerve is damaged?&nbsp;</p>","<p>Axillary</p>","<p>Dorsal scapular</p>","<p>Long thoracic&nbsp;</p>","<p>Musculocutaneous</p>","<p>Scapula</p>","<p>A. Axillary: innervates deltoid and teres minor</p><p>B. Dorsal scapular: innervates rhomboids and levator scapulae&nbsp;</p><p>C. Long thoracic: CORRECT!!!!!!!!!!!!!!! :)</p><p>D. Musculocutaneous: innervates biceps brachii, brachialis, coracobrachialis (anterior compartment of the arm)</p><p>E. Scapula: are you for real? this is a bone</p>","PCS 1 anatomy of upper limb, Upper limb anatomy, anatomy"
"2918878","2017-10-25 02:43:26","1706524","3.0500","121","80","B","5","<p>A forty year old female presents to you with severe blisters on her skin and joints. She has a history of auto-immune diseases in her family. Which of the following diseases could she possibly have?&nbsp;</p>","<p>Rheumatoid arthritis, autoimmune disease in which causes inflammation of joint capsules.&nbsp;</p>","<p>Pemphigus, autoimmune disease which causes the desmosomal proteins in epithelia to be attacked&nbsp;</p>","<p>Cystic fibrosis, inherited disease affecting epithelial cells.&nbsp;</p>","<p>Pemphigus, autoimmune disease which causes adherens junction proteins in epithelia to be attacked.&nbsp;</p>","<p>Psoriasis, autoimmune disease affecting skin cells.&nbsp;</p>","<p>Pemphigus is an autoimmune disease in which the desmosomal proteins are attacked. Desmosome are are type of cell to cell junction in epithelial cells which hold the cells together. When these proteins are attacked the cells detach from one another allowing fluid to leak between the cells causing blistering in the skin.&nbsp;</p>","Epithelia"
"2918880","2017-10-25 02:43:46","1706413","2.8500","96","71","B","5","<p>A first year biomedical student suffers a fall on a heavy Saturday night out at Juice, taking the impact on his upper arm. He fractures the surgical neck of the humerus, causing nerve damage. Which of the following nerves is most likely to be damaged?</p>","<p>Radial nerve</p>","<p>Axillary nerve</p>","<p>Ulna nerve</p>","<p>Musculocutaneous&nbsp;nerve</p>","<p>Accessory nerve</p>","<p>A fracture of the surgical neck of the humerus is most likely to cause damage to the axillary nerve and posterior circumflex humeral artery. Damage to the axillary nerve affects the function of the teres minor and deltoid muscles, resulting in loss of abduction of the arm (from 15-90 degrees), weak flexion, extension, and rotation of shoulder as well as loss of sensation of the skin over a small part of the lateral shoulder.</p>","PCS 1 anatomy of upper limb, Upper limb anatomy"
"2918883","2017-10-25 02:44:11","1704658","2.6300","89","64","D","5","<p>Kate has just used a scalpel to take make an incision during surgery. Which bin should she put it in?</p>","<p>Yellow bin</p>","<p>Purple sharps bin</p>","<p>recycling&nbsp;</p>","<p>Yellow sharps bin</p>","<p>Orange sharps bin</p>","<p>It is metal and therefore needs to be put into the bin which will melt it so it can be compacted and so it will go in the yellow sharps bin as this heats the waste to the highest temperature</p>","clinical skills"
"2918884","2017-10-25 02:44:30","1704981","2.9600","92","72","C","5","<p>Sam has rotator cuff tendonitis , which the doctor explains is inflammation of the tendons of the rotator cuff. Which muscles make up the rotator cuff?</p>","<p>Deltoid, teres minor, infraspinatus, supraspinatus</p>","<p>Supraspinatus, infraspinatus, subscapularis and teres major</p>","<p>Supraspinatus, infraspinatus, subscapularis and teres minor</p>","<p>Deltoid, teres major, subscapularis, supraspinatus&nbsp;</p>","<p>Deltoid, teres minor, supraspinatus, infraspinatus, subscapularis</p>","<p>There are four muscles that form the rotator cuff so cannot be E. These muscles are supraspinatus, infraspinatus, subscapularis and teres minor. Be careful not to get confused between teres major and teres minor!</p><p>Thinks links with the anatomy learning outcomes of PCS unit 1.&nbsp;</p>","PCS 1 anatomy of upper limb, Anatomy PCS Unit 1"
"2918888","2017-10-25 02:45:06","1700856","2.9100","110","75","C","5","<p>Mr Kerr has hurt his shoulder. The doctor says 'you must of hurt one of your Rotator cuff muscles' Which of the following muscles has Mr Kerr NOT hurt?</p>","<p>Infraspinatous</p>","<p>Subscapularis</p>","<p>Teres major</p>","<p>Supraspinatous</p>","<p>Teres minor</p>","<p>The way to remember the Rotator cuff muscles is by SITS. Teres major is not a Rotator cuff muscle but the teres minor is.</p><p>This question relates to upper limb muscles.</p>","Anatomy of the upper limb"
"2918894","2017-10-25 02:46:45","1703078","2.9900","110","83","C","5","<p>A pregnant woman comes into the clinic for a regular check up. What is the name given for the increase in size of smooth muscle due to cell proliferation?</p>","<p>Hypertrophy&nbsp;</p>","<p>Homeostasis</p>","<p>Hyperplasia</p>","<p>Hyperglaemic</p>","<p>Hypertension</p>","<p>The answer is Hyperplasia, this is not to be confused with Hypertrophy which is the result of exercise and leads to the increase in muscle due to the enlargement of the component cells.</p>","Found in Microanatomy Practicals"
"2918895","2017-10-25 02:47:03","1703588","2.5700","95","70","B","5","<p>Jeff visits his GP complaining of pain in his upper back. The GP&nbsp;says that&nbsp;Jeff has a winged&nbsp;scapula. Damage to what nerve causes this?</p>","<p>Axillary nerve</p>","<p>Long thoracic nerve</p>","<p>Median nerve</p>","<p>Radial nerve</p>","<p>Ulnar Nerve</p>","<p>Axillary nerve - Injury to the Axillary nerve may be due to a traumatic injury such as a shoulder dislocation.</p><p>&nbsp;</p><p>Median nerve - The median nerve can be torn partially or fully or compressed at the elbow. This can be from a fracture or other traumatic injury, or compression from excess fluid build up following an injury.</p><p>&nbsp;</p><p>Radial nerve - Damage to the radial nerve causes 'wrist drop'.</p><p>&nbsp;</p><p>Ulnar nerve- Damage to the ulnar nerve can be caused by&nbsp;long-term pressure on the elbow or base of the palm or an elbow fracture or dislocation</p>","Anatomy- Upper limb"
"2918897","2017-10-25 02:47:15","1701860","2.6500","103","77","D","5","<p>A 49 year old patient walks into a GP consultation and you deduce that he has claw hand. Damage to which nerve leads to this condition?<img src=""../images/view.php?file=243817"" alt=""no description"" /></p>","<p>Musculocutaneous nerve</p>","<p>Radial nerve</p>","<p>Axillary nerve</p>","<p>Ulnar nerve</p>","<p>Median nerve</p>","","anatomy"
"2918900","2017-10-25 02:47:31","1705120","2.9900","111","72","D","5","<p>Hannah Montanna has been diagnosed with Osteoporosis. She asks her doctor more about her condition. The doctor begins to explain the roles of two different cell types involved in bone remodelling, which of the following cells should they talk about?</p>","<p>Osteocytes and Erythrocytes.</p>","<p>Osteoclasts and Basophils.</p>","<p>Osteoblasts and Mast cells.</p>","<p>Osteoclasts and Osteoblasts.</p>","<p>Neutrophils and Zymogen cells.</p>","<p>Bone remodeling involves the removal of mineralized bone by osteoclasts followed by the formation of bone matrix through the osteoblasts that subsequently become mineralized as osteocytes.</p><p>&nbsp;</p><p>Osteoporosis is linked to levels of certain hormones in the blood. Their effect can cause disregulation of the balance between bone resorption and deposition of new material.</p><p>&nbsp;</p><p>https://www.iofbonehealth.org/pathophysiology-biological-causes-osteoporosis</p>","Osteology"
"2918904","2017-10-25 02:48:42","1701950","3.0000","89","65","A","5","<p>A patient presents to their GP with wrist pain. The initial diagnosis is injury to their&nbsp;Flexor Carpi Radialis.</p><p>What is the function of this muscle?&nbsp;</p>","<p>Flexion and abduction at the wrist</p>","<p>Flexion and adduction at the wrist</p>","<p>Flexion at the wrist</p>","<p>Flexion of the metacarpophalangeal joint, and flexion and adduction at the wrist</p>","<p>Flexion of metacarpophalangeal joint of the thumb.</p>","<p>http://teachmeanatomy.info/upper-limb/muscles/anterior-forearm/</p><p>B-&nbsp;Flexor Carpi Ulnaris</p><p>C-Palmaris Longus</p><p>D-Flexor Digitorum Profundus&nbsp;flexes at metacarpophalangeal joints and at the wrist.</p><p>E-&nbsp;Flexor Pollicis Longus</p>","-"
"2918905","2017-10-25 02:49:09","1703577","3.0800","123","86","B","5","<p>Mary comes to the GP complaining of stiffness and pain in her shoulder. The GP diagnoses her with frozen shoulder syndrome. Which physiological condition causes the pain in frozen shoulder condition?<img src=""https://pics.me.me/what-seems-to-be-the-problem-mary-it-hurts-when-28450424.png"" alt=""Gd meme"" width=""500"" height=""911"" /></p>","<p>Bursitis</p>","<p>Inflammation and tightening of shoulder joint tissue</p>","<p>Osteoarthritis at the head of the humerus</p>","<p>Rupturing of the deltoid ligament</p>","<p>A clavicle/collarbone fracture</p>","<p>Frozen shou occurs when shoulder joint tissue becomes inflamed and tight, making movement difficult. Recovery can take many months, even requiring surgery. More information is available at&nbsp;https://beta.nhs.uk/conditions/frozen-shoulder/</p><p>&nbsp;</p><p>A: Bursitis is a separate condition, caused by the inflammation of bursa (small, fluid filled sacs at the shoulder joint)</p><p>B: Correct</p><p>C: Osteoarthritis is the degradation of cartilage at joints, causing painful friction between bones. However, this is a separate condition to frozen shoulder.</p><p>D: Rupturing of the deltoid ligament results in a depression above the deltoid muscle, as well as swelling.</p><p>E: Different condition</p>","Anatomy"
"2918906","2017-10-25 02:49:25","1705063","2.5600","86","62","E","5","<p>Gemma, 36, falls off a stage and falls onto the posterior side of her hand, fracturing a bone. Which is the most likely type of fracture this could be?</p>","<p>Boxer's fracture</p>","<p>Colle's fracture</p>","<p>Distal ulnar fracture</p>","<p>Proximal Phalanx fracture</p>","<p>Smith's fracture</p>","<p>Smith's fracture- an inward fracture, fracturing the end of the radius at the palmar angularity of the distal bone.</p><p>&nbsp;</p><p>This is not to be confused with Colle's fracture, which is an outward fracture at the end of the radius (and a type of FOOSH) that fractures the dorsal angularity of the distal bone.</p><p>&nbsp;</p><p>A distal ulnar fracture, another type of FOOSH and also associated with distal radial fractures, is not the right answer, despite having fallen from a significant height and the woman in question potentially being overweight. This is because the question specifies that the lady has fallen on the front of her hand and not a direct trauma to &nbsp;the arm or forearm.</p><p>&nbsp;</p><p>Again, it is unlikely to be a proximal phalanx fracture for this reason, as it was specified the landing was on the back of the hand and not involving individual parts of the finger's.</p><p>&nbsp;</p><p>Finally, Boxer's fracture (a metacarpal fracture) would not be the right answer because of the explanation above. Specifically no punching motion has occurred, a typical cause of the injury to the 5th metacarpal.</p>","-"
"2918908","2017-10-25 02:49:59","1706378","2.5600","80","62","B","5","<p>Mrs Lewis attends her GP surgery after suffering from &nbsp;numbness and pins and needles in her fingers. Her GP diagnoses her with carpal tunnel syndrome. Which nerve is likely to be damaged?</p>","<p>Digital nerve</p>","<p>Median nerve</p>","<p>Ulnar nerve</p>","<p>Radial nerve</p>","<p>Musculotaneous nerve</p>","","-"
"2918914","2017-10-25 02:50:37","1703506","3.0500","133","91","D","5","<p>Miss Middletide was doing a three-legged pub crawl around Cardiff when she fell onto her wrist. She has come to a very nice GP with pain in her anatomical snuff box. The very nice GP tells poor Miss Middletide that she needs an X-ray in case of a fracture in her wrist. She is very upset and in a lot of pain.</p><p>Which of the carpal (wrist) bones is most likely to have been fractured?</p><p>&nbsp;</p><p><img style=""vertical-align: text-bottom;"" src=""https://upload.wikimedia.org/wikipedia/commons/2/22/Anatomical-snuff-box.jpg"" alt=""Anatomical snuff box"" width=""160"" height=""199"" /></p>","<p>Capitate</p>","<p>Hamate</p>","<p>Lunate</p>","<p>Scaphoid</p>","<p>Trapezoid</p>","<p>The scaphoid is closest to the anatomical snuff box so this is most likely to have been fractured. Explanation in the clinical box at the bottom of this page on teach me anatomy:&nbsp;http://teachmeanatomy.info/upper-limb/areas/anatomical-snuffbox/&nbsp;</p><p><br /><img style=""float: left;"" src=""https://www.mayoclinic.org/-/media/kcms/gbs/patient-consumer/images/2013/11/15/17/41/ds01003_ds00971_im02621_mcdc7_carpal_bones_jpg.ashx"" alt=""Capal bones"" width=""468"" height=""297"" /></p>","Osteology, PCS 1 anatomy of upper limb, anatomy"
"2918915","2017-10-25 02:50:39","1703155","2.8900","91","64","B","5","<p>John is a Medical student on placement and he is having difficulty recalling his knowledge on the action potential of myocytes. Please help him. Which myocytes have action potentials with a plateau phase?</p>","<p>Ventricular and SA node myocytes</p>","<p>Ventricular and atrial Myocytes</p>","<p>SA node myocytes</p>","<p>AV node myocytes&nbsp;</p>","<p>SA node and AV node myocytes&nbsp;</p>","<p>The atrial and ventricular myocytes have a plateau phase in their action potential due to the calcium ions moving into the cell after the sodium ion channels are closed.</p>","-"
"2918917","2017-10-25 02:51:20","1703103","3.2400","146","86","A","5","<p>Sarah came into the G.P complaining of pain and inflammation around the shoulder after hours of swimming. The doctor believes that the patient has rotator cuff tendonitis. Which muscle is most affected by this?</p>","<p>Supraspinatus</p>","<p>Infraspinatus</p>","<p>Teres Minor</p>","<p>Teres major</p>","<p>Deltoid</p>","<p>Inflammation around the tendon is usually caused by supraspinatus rubbing against the coraco-acromial arch.&nbsp;</p><p>&nbsp;</p><p>It cannot be infraspinatus teres minor as it is not in contact with the coraco-acromial arch.</p><p>It cannot be teres major and deltoid as they are not part of the rotator cuff muscles.&nbsp;</p>","Anatomy, Upper Limb"
"2918925","2017-10-25 02:53:28","1704392","2.8100","117","84","D","5","<p>A patient has described falling on an outstretched hand, and 'claw hand' is observed. What is the most likely cause?</p>","<p>Damage to radial nerve&nbsp;</p>","<p>Damage to musculocutaneous nerve</p>","<p>Damage to axillary nerve</p>","<p>Damage to ulnar nerve&nbsp;</p>","<p>Damage to median nerve</p>","<p>Answer - damage to ulnar nerve&nbsp;</p><p>&nbsp;</p><p>&nbsp;</p>","Anatomy PCS Unit 1, PCS 1 anatomy of upper limb, Upper limb anatomy, Anatomy of the upper limb, anatomy"
"2918929","2017-10-25 02:54:48","1703555","3.0100","118","80","C","5","<p>Steve, a 65 year old male presents with painful blistering on a significant part of his hand.&nbsp;</p><p>&nbsp;</p><p>Which structure in the skin is targeted to cause this?&nbsp;</p>","<p>Adherens junctions</p>","<p>Cadherin</p>","<p>Desmosomes</p>","<p>Tight Junctions</p>","<p>Gap junctions</p>","<p>A. Adherens junctions - provide strong mechanical attachments between adjacent cells</p><p>B. Cadherin - transmembrane proteins that build up adherens junctions&nbsp;</p><p>C. Desmosomes -&nbsp;</p><p>Desmosomes are localized patches that hold two cells tightly together. They are common in epithelia (e.g., the skin). Desmosomes are attached to intermediate filaments of keratin in the cytoplasm.</p><p>Pemphigus is an autoimmune disease in which the patient has developed antibodies against proteins (cadherins) in desmosomes. The loosening of the adhesion between adjacent epithelial cells causes blistering.</p><p>D. Tight junctions -&nbsp;seal adjacent epithelial cells in a narrow band just beneath their apical surface&nbsp;</p><p>E. Gap junctions - enable passage of ions for transmission of action potentials in excitable cells.&nbsp;</p><p>&nbsp;</p><p>&nbsp;</p><p>Reference:&nbsp;http://www.biology-pages.info/J/Junctions.html&nbsp;</p><p>&nbsp;</p>","Epithelia"
"2918937","2017-10-25 03:00:24","1705517","2.2100","123","73","E","5","<p>Sara is studying the cardiac cycle and is trying to recall her knowledge on the valves. She is finding it hard to remember what the valve between the left atria and left ventricle is called. If she asked you for help what would you tell her?</p>","<p>Tricuspid valve</p>","<p>Semilunar valve</p>","<p>Bicuspid valve</p>","<p>&nbsp;Sinoatrial node valve</p>","<p>&nbsp;Mitral valve</p>","<p>&nbsp;<strong>Mitral valve</strong> is the correct and <strong><span style=""text-decoration: underline;"">more specific</span></strong> answer.&nbsp;</p><p><strong>Tricuspid valve</strong>: is in the right part of the heart. It is the atrial ventricular valve in the right part.&nbsp;</p><p><strong>Semilunar valve</strong>: is the valve between a ventricle and the artery.&nbsp;</p><p><strong>Bicuspid valve</strong>: could also be correct but it is not specific enough therefore Mitral valve is more correct.&nbsp;</p><p><strong>Sinoatrial node valve</strong>: does not exist. And you can find the Sinoatrial node in the right atria.&nbsp;</p>","PCS unit 2 cardiac cycle"
"2919076","2017-10-25 03:57:00","1703003","2.6800","94","62","A","5","<p>What is the name given to the attachment between the scapula and the clavicle?</p>","<p>acromioclavicular joint</p>","<p>ball and socket&nbsp;</p>","<p>costal clavicula&nbsp;</p>","<p>deltoid claviculus&nbsp;</p>","<p>scapula claviculus&nbsp;</p>","<p>The acromioclavicular joint is a joint at the top of the shoulder. It is the junction between the acromion (part of the scapula that forms the highest point of the shoulder) and the clavicle. It is a plane synovial joint.</p>","Anatomy PCS Unit 1, Anatomy of the upper limb"
"2919088","2017-10-25 04:00:43","1703729","2.5200","101","77","D","5","<p>John comes into GP surgery after falling onto an outstretched Hand. Which Carple is he most likely to fracture?&nbsp;</p>","<p>lunate</p>","<p>hamate</p>","<p>pisiform</p>","<p>scaphoid</p>","<p>trapezoid&nbsp;</p>","<p>you are most likely to fracture your scaphoid after a FOOS</p>","Anatomy PCS Unit 1, Anatomy of the upper limb, Anatomy- Upper limb, Osteology, Upper Limb"
"2919097","2017-10-25 04:03:14","1705001","2.5800","105","76","A","5","<p>Omomoemen fell of a tree and began bleeding severely. At the hospital the first junior doctor took his vitals and measures his blood glucose levels. What is the normal range for blood glucose levels (in mmol/L)</p>","<p>4-8</p>","<p>1-5</p>","<p>10-13</p>","<p>4-9</p>","<p>5-9</p>","<p>The normal range for blood glucose levels is 4-8mmol/L</p>","PCS unit 2 cardiac cycle"
